iter	Passed	Remaining
0	137	136965
1	137	68793
2	138	46056
3	139	34674
4	139	27854
5	140	23299
6	141	20050
7	142	17615
8	142	15715
9	143	14195
10	144	12955
11	144	11920
12	145	11042
13	146	10293
14	146	9643
15	147	9073
16	148	8571
17	148	8122
18	149	7722
19	150	7359
20	150	7036
21	151	6743
22	152	6473
23	153	6227
24	153	5999
25	154	5787
26	155	5590
27	155	5408
28	156	5239
29	157	5080
30	157	4932
31	158	4793
32	159	4663
33	159	4539
34	160	4423
35	161	4313
36	161	4209
37	162	4110
38	163	4017
39	163	3927
40	164	3842
41	164	3762
42	165	3685
43	166	3612
44	166	3542
45	167	3482
46	168	3418
47	169	3356
48	169	3297
49	170	3240
50	171	3185
51	171	3132
52	172	3081
53	173	3031
54	173	2984
55	174	2938
56	174	2894
57	175	2851
58	176	2811
59	176	2770
60	177	2731
61	178	2694
62	178	2658
63	179	2623
64	180	2590
65	180	2557
66	181	2526
67	182	2496
68	183	2469
69	183	2440
70	184	2412
71	185	2384
72	185	2358
73	186	2332
74	187	2307
75	187	2282
76	188	2257
77	188	2233
78	189	2210
79	190	2187
80	190	2164
81	191	2143
82	191	2118
83	192	2098
84	193	2078
85	193	2058
86	194	2038
87	194	2019
88	195	2001
89	196	1983
90	196	1965
91	197	1947
92	197	1930
93	198	1913
94	199	1897
95	199	1880
96	200	1864
97	200	1849
98	201	1833
99	202	1818
100	202	1803
101	203	1789
102	203	1775
103	204	1761
104	205	1747
105	205	1734
106	206	1721
107	206	1708
108	207	1695
109	208	1683
110	208	1671
111	209	1659
112	210	1649
113	210	1638
114	211	1627
115	212	1616
116	212	1604
117	213	1593
118	213	1582
119	214	1572
120	214	1561
121	215	1550
122	216	1540
123	216	1530
124	217	1520
125	217	1511
126	218	1500
127	218	1491
128	219	1482
129	220	1473
130	220	1464
131	221	1455
132	221	1446
133	222	1437
134	223	1429
135	223	1421
136	224	1413
137	224	1404
138	225	1396
139	226	1389
140	226	1382
141	227	1373
142	227	1365
143	228	1358
144	229	1350
145	229	1343
146	230	1336
147	230	1329
148	231	1321
149	232	1315
150	232	1308
151	233	1301
152	233	1294
153	234	1287
154	235	1281
155	235	1274
156	236	1268
157	236	1261
158	237	1255
159	237	1249
160	238	1242
161	238	1236
162	239	1230
163	240	1224
164	240	1218
165	241	1212
166	241	1206
167	242	1201
168	243	1195
169	243	1190
170	244	1184
171	244	1179
172	245	1173
173	246	1168
174	246	1163
175	247	1158
176	247	1152
177	248	1147
178	249	1142
179	249	1137
180	250	1132
181	250	1127
182	251	1122
183	251	1117
184	252	1112
185	253	1107
186	253	1103
187	254	1098
188	255	1094
189	255	1089
190	256	1085
191	256	1080
192	257	1076
193	257	1071
194	258	1067
195	259	1062
196	259	1058
197	260	1054
198	260	1050
199	261	1045
200	262	1041
201	262	1037
202	263	1033
203	263	1029
204	264	1025
205	265	1021
206	265	1017
207	266	1013
208	266	1009
209	267	1005
210	267	1001
211	268	998
212	269	994
213	269	990
214	270	987
215	270	983
216	271	979
217	272	976
218	272	972
219	273	969
220	273	965
221	274	961
222	275	958
223	275	955
224	276	951
225	276	948
226	277	944
227	278	941
228	278	938
229	279	934
230	279	931
231	280	928
232	281	925
233	281	921
234	282	918
235	282	915
236	283	912
237	283	909
238	284	905
239	285	902
240	285	899
241	286	896
242	286	893
243	287	890
244	288	887
245	288	884
246	289	881
247	289	878
248	290	875
249	290	872
250	291	869
251	292	866
252	292	864
253	293	861
254	293	858
255	294	855
256	294	852
257	295	850
258	296	847
259	296	844
260	297	842
261	298	839
262	298	836
263	299	834
264	299	831
265	300	828
266	301	826
267	301	823
268	302	821
269	302	818
270	303	816
271	303	813
272	304	811
273	305	808
274	305	805
275	306	803
276	306	801
277	307	798
278	308	796
279	309	795
280	310	793
281	310	790
282	311	788
283	311	786
284	312	783
285	312	781
286	313	778
287	314	776
288	314	774
289	315	772
290	315	769
291	316	767
292	317	765
293	318	763
294	318	761
295	319	759
296	320	757
297	320	755
298	321	753
299	321	751
300	322	749
301	323	746
302	323	744
303	324	742
304	324	740
305	325	738
306	326	736
307	326	734
308	327	732
309	327	730
310	328	727
311	329	725
312	329	723
313	330	721
314	330	719
315	331	717
316	332	716
317	333	714
318	333	712
319	334	710
320	335	708
321	335	706
322	336	704
323	336	702
324	337	700
325	338	699
326	338	697
327	339	695
328	339	693
329	340	691
330	341	689
331	341	687
332	342	685
333	342	683
334	343	681
335	343	679
336	344	677
337	345	675
338	345	674
339	346	672
340	347	671
341	348	670
342	349	668
343	349	666
344	350	665
345	351	663
346	351	661
347	352	659
348	352	657
349	353	656
350	353	654
351	354	652
352	355	650
353	355	649
354	356	647
355	356	645
356	357	643
357	358	642
358	358	640
359	359	638
360	359	636
361	360	635
362	361	633
363	361	632
364	362	630
365	363	629
366	364	628
367	364	626
368	365	624
369	365	623
370	366	621
371	367	619
372	367	618
373	368	616
374	369	615
375	369	613
376	370	611
377	370	610
378	371	608
379	371	606
380	372	605
381	373	603
382	373	602
383	374	600
384	374	598
385	375	597
386	376	595
387	377	595
388	377	593
389	378	592
390	379	590
391	380	589
392	380	587
393	381	586
394	381	584
395	382	583
396	382	581
397	383	580
398	384	578
399	384	577
400	385	575
401	385	574
402	386	572
403	387	571
404	387	569
405	388	568
406	389	566
407	389	565
408	390	563
409	390	562
410	391	560
411	392	560
412	393	559
413	394	557
414	394	556
415	395	555
416	395	553
417	396	552
418	397	550
419	397	549
420	398	547
421	398	546
422	399	544
423	400	543
424	400	542
425	401	540
426	401	539
427	402	537
428	403	536
429	403	535
430	404	533
431	404	532
432	405	530
433	406	529
434	406	528
435	407	527
436	408	526
437	409	525
438	409	523
439	410	522
440	411	521
441	412	520
442	412	518
443	413	517
444	414	516
445	414	515
446	415	514
447	416	512
448	416	511
449	417	509
450	417	508
451	418	507
452	419	505
453	419	504
454	420	503
455	420	501
456	421	500
457	422	499
458	423	498
459	423	497
460	424	496
461	425	495
462	425	493
463	426	492
464	426	491
465	427	489
466	428	488
467	428	487
468	429	486
469	429	484
470	430	483
471	431	482
472	431	480
473	432	479
474	432	478
475	433	477
476	433	475
477	434	474
478	435	473
479	435	472
480	436	470
481	437	469
482	438	469
483	438	467
484	439	466
485	440	465
486	440	464
487	441	463
488	441	461
489	442	460
490	443	459
491	443	458
492	444	456
493	444	455
494	445	454
495	446	453
496	446	452
497	447	450
498	447	449
499	448	448
500	448	447
501	449	446
502	450	444
503	450	443
504	451	442
505	452	441
506	453	440
507	454	439
508	454	438
509	455	437
510	455	436
511	456	435
512	457	433
513	457	432
514	458	431
515	458	430
516	459	429
517	460	428
518	460	426
519	461	425
520	461	424
521	462	423
522	462	422
523	463	421
524	464	419
525	464	418
526	465	417
527	465	416
528	466	415
529	467	414
530	468	413
531	468	412
532	469	411
533	470	410
534	470	409
535	471	408
536	472	406
537	472	405
538	473	404
539	473	403
540	474	402
541	474	401
542	475	400
543	476	399
544	476	398
545	477	396
546	477	395
547	478	394
548	479	393
549	479	392
550	480	391
551	480	390
552	481	389
553	482	388
554	483	387
555	483	386
556	484	385
557	485	384
558	485	383
559	486	382
560	486	381
561	487	379
562	488	378
563	488	377
564	489	376
565	489	375
566	490	374
567	491	373
568	491	372
569	492	371
570	492	370
571	493	369
572	494	368
573	494	367
574	495	366
575	495	364
576	496	363
577	497	363
578	498	362
579	499	361
580	499	360
581	500	359
582	500	358
583	501	357
584	502	356
585	502	355
586	503	354
587	503	353
588	504	351
589	504	350
590	505	349
591	506	348
592	506	347
593	507	346
594	507	345
595	508	344
596	509	343
597	509	342
598	510	341
599	510	340
600	511	339
601	512	338
602	513	337
603	513	336
604	514	335
605	515	334
606	515	333
607	516	332
608	516	331
609	517	330
610	518	329
611	518	328
612	519	327
613	519	326
614	520	325
615	521	324
616	521	323
617	522	322
618	522	321
619	523	320
620	524	319
621	524	318
622	525	317
623	525	316
624	526	315
625	527	315
626	529	314
627	530	314
628	530	313
629	531	312
630	532	311
631	532	310
632	533	309
633	534	308
634	535	307
635	536	307
636	538	306
637	538	305
638	539	305
639	540	304
640	542	303
641	542	302
642	543	301
643	544	301
644	545	300
645	545	299
646	546	298
647	547	297
648	548	296
649	549	295
650	549	294
651	550	293
652	551	293
653	552	292
654	552	291
655	553	290
656	554	289
657	554	288
658	555	287
659	555	286
660	557	285
661	558	285
662	559	284
663	559	283
664	560	282
665	560	281
666	561	280
667	562	279
668	562	278
669	563	277
670	563	276
671	564	275
672	565	274
673	565	273
674	566	272
675	566	271
676	567	270
677	568	269
678	568	268
679	569	267
680	569	266
681	570	265
682	572	265
683	573	264
684	573	263
685	574	263
686	575	262
687	576	261
688	577	260
689	577	259
690	578	258
691	578	257
692	579	256
693	580	255
694	580	254
695	581	253
696	581	252
697	582	251
698	583	251
699	583	250
700	584	249
701	584	248
702	585	247
703	586	246
704	587	245
705	588	244
706	589	244
707	589	243
708	590	242
709	591	241
710	591	240
711	592	239
712	592	238
713	593	237
714	594	236
715	594	235
716	595	234
717	595	234
718	596	233
719	596	232
720	597	231
721	598	230
722	598	229
723	599	228
724	599	227
725	600	226
726	602	226
727	603	225
728	604	224
729	605	223
730	606	223
731	606	222
732	607	221
733	607	220
734	608	219
735	609	218
736	609	217
737	610	216
738	610	215
739	611	214
740	611	213
741	612	212
742	613	212
743	613	211
744	614	210
745	614	209
746	615	208
747	616	207
748	617	206
749	618	206
750	619	205
751	620	204
752	620	203
753	621	202
754	621	201
755	622	200
756	623	199
757	623	199
758	624	198
759	624	197
760	625	196
761	626	195
762	626	194
763	627	193
764	627	192
765	628	191
766	628	191
767	629	190
768	630	189
769	630	188
770	631	187
771	633	186
772	634	186
773	634	185
774	635	184
775	636	183
776	636	182
777	637	181
778	637	180
779	638	180
780	639	179
781	639	178
782	640	177
783	640	176
784	641	175
785	641	174
786	642	173
787	643	173
788	643	172
789	644	171
790	644	170
791	645	169
792	646	168
793	647	167
794	648	167
795	648	166
796	649	165
797	650	164
798	651	163
799	651	162
800	652	162
801	653	161
802	653	160
803	654	159
804	654	158
805	655	157
806	655	156
807	656	156
808	657	155
809	657	154
810	658	153
811	658	152
812	659	151
813	660	150
814	660	149
815	662	149
816	663	148
817	664	147
818	664	146
819	665	146
820	666	145
821	667	144
822	667	143
823	668	142
824	669	141
825	669	141
826	670	140
827	671	139
828	671	138
829	672	137
830	673	136
831	673	136
832	674	135
833	675	134
834	675	133
835	676	132
836	677	132
837	678	131
838	679	130
839	680	129
840	680	128
841	681	127
842	682	127
843	682	126
844	683	125
845	683	124
846	684	123
847	685	122
848	685	122
849	686	121
850	687	120
851	687	119
852	688	118
853	689	117
854	689	116
855	690	116
856	691	115
857	692	114
858	693	113
859	694	113
860	694	112
861	695	111
862	696	110
863	696	109
864	697	108
865	698	108
866	698	107
867	699	106
868	699	105
869	700	104
870	701	103
871	701	102
872	702	102
873	702	101
874	703	100
875	703	99
876	704	98
877	705	97
878	705	97
879	707	96
880	707	95
881	708	94
882	709	93
883	709	93
884	710	92
885	710	91
886	711	90
887	712	89
888	712	88
889	713	88
890	713	87
891	714	86
892	715	85
893	715	84
894	716	84
895	717	83
896	717	82
897	718	81
898	718	80
899	719	79
900	720	79
901	720	78
902	721	77
903	722	76
904	722	75
905	723	75
906	724	74
907	724	73
908	725	72
909	725	71
910	726	70
911	727	70
912	727	69
913	728	68
914	728	67
915	729	66
916	730	66
917	730	65
918	731	64
919	731	63
920	732	62
921	732	62
922	733	61
923	734	60
924	734	59
925	735	58
926	735	57
927	736	57
928	737	56
929	737	55
930	738	54
931	739	53
932	739	53
933	740	52
934	740	51
935	741	50
936	741	49
937	742	49
938	743	48
939	743	47
940	744	46
941	744	45
942	745	45
943	746	44
944	746	43
945	747	42
946	747	41
947	748	41
948	749	40
949	749	39
950	750	38
951	750	37
952	751	37
953	752	36
954	752	35
955	753	34
956	754	33
957	754	33
958	755	32
959	755	31
960	756	30
961	757	29
962	757	29
963	758	28
964	758	27
965	759	26
966	759	25
967	760	25
968	761	24
969	761	23
970	762	22
971	762	21
972	763	21
973	764	20
974	764	19
975	765	18
976	766	18
977	766	17
978	767	16
979	767	15
980	768	14
981	769	14
982	769	13
983	770	12
984	770	11
985	771	10
986	772	10
987	772	9
988	773	8
989	773	7
990	774	7
991	775	6
992	775	5
993	776	4
994	776	3
995	777	3
996	778	2
997	778	1
998	779	0
999	779	0
